Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,Red,Green,Blue,Point Polygon Test
sorghum,113,449.93102037906647,0.3869323866330197,0.7247551502870652,0.9784566282913484,139,117,68,12.806248474865697
sorghum,114,436.6589422225952,0.2969656989669939,0.7119493287956136,0.9711154094132818,122,105,62,10.816653826391967
sorghum,115,482.13203048706055,0.5314010779785394,0.7806136301927776,0.9693189480782198,120,95,51,16.1245154965971
sorghum,116,483.5878738164902,0.5544080416022645,0.7267452083699666,0.9693913451389704,115,94,54,15.231546211727816
sorghum,117,452.9015818834305,0.45712410864045894,0.6555957128614157,0.9498916576381364,126,103,51,11.31370849898476
sorghum,118,490.8010771274567,0.3503050530719881,0.7258220996732027,0.9775462485386148,145,123,74,6.4031242374328485
sorghum,119,540.3574256896974,0.24669546294348094,0.7144263144263144,0.9540675152185945,117,95,54,-2.23606797749979
sorghum,120,481.2863576412201,0.4840893740428564,0.7097342657342657,0.9618271417740712,109,89,38,15.0
sorghum,121,452.9604567289352,0.49300342493315397,0.7730475631238991,0.9799397074695746,138,110,53,23.430749027719962
sorghum,122,465.2447280883789,0.4586901522807037,0.7291119860017498,0.9752779403159744,131,106,54,13.41640786499874
sorghum,123,488.21529006958013,0.2836969536101364,0.6952939022157114,0.9548998239584208,106,87,46,7.6157731058639095
sorghum,124,516.8427078723906,0.3133828918358748,0.7111724137931035,0.9711810133735168,134,108,56,13.435028842544405
sorghum,125,455.5878732204437,0.5313448169019632,0.7342702702702703,0.981680216802168,137,116,61,7.071067811865476
sorghum,126,511.87214493751526,0.5129487743210276,0.7305697103245651,0.978510160789498,119,99,51,7.810249675906653
sorghum,127,439.1025923490524,0.4791932179025666,0.7620168067226891,0.970503874309688,135,110,63,12.727922061357855
sorghum,128,488.31579566001886,0.5106824340134303,0.7253243872684928,0.962686292548298,130,111,70,9.433981132056603
sorghum,129,536.9432119131088,0.19461458306544566,0.7457959376476145,0.9650082513293808,115,95,55,11.704699910719626
sorghum,130,413.98989474773407,0.4005104804565328,0.7472527472527473,0.9741116988905014,130,106,49,8.94427190999916
