Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,BLue,Green,Red,Point Polygon Test
sorghum,155,399.93102073669434,0.5655187136587728,0.7056722076407116,0.975951600705823,36,76,93,9.899494936611665
sorghum,156,494.0731544494629,0.49660193949591885,0.7262202753441802,0.9658424940181017,44,76,93,5.656854249492381
sorghum,157,433.3036035299301,0.4197562460110813,0.7410984848484848,0.9763380047407161,52,85,100,18.867962264113206
sorghum,158,459.97264897823334,0.12977906832795347,0.7180257207461843,0.9581801037246582,37,61,73,15.556349186104045
sorghum,159,457.5462440252304,0.38539848287071765,0.7211421216637312,0.9538551140181891,48,80,99,21.02379604162864
sorghum,160,469.4873696565628,0.5590392532512523,0.7313039309683605,0.9775016909330391,44,75,88,13.45362404707371
sorghum,161,464.96045672893524,0.41114407494055866,0.7371176470588235,0.9694039376474684,42,77,92,8.48528137423857
sorghum,162,466.416300535202,0.4379852289000538,0.6969142857142857,0.964835251770104,31,63,79,14.7648230602334
sorghum,163,467.4873683452606,0.2788034136160116,0.7243333333333334,0.9641416585995483,39,68,81,9.433981132056603
sorghum,164,460.13203036785126,0.4994317821169035,0.7610766045548655,0.9571670355422471,35,59,75,14.142135623730951
sorghum,165,440.0315247774124,0.43130809980184853,0.7219246031746032,0.9646928855501546,42,62,71,17.029386365926403
sorghum,166,447.54624354839325,0.40973657385955786,0.725923682616596,0.9645443977465796,35,60,73,14.560219778561036
sorghum,167,349.36247873306274,0.32232956898749077,0.7426694125723252,0.9735184471011699,43,60,69,18.867962264113206
sorghum,168,453.3868637084961,0.318748637244752,0.731067382230173,0.9697065569880566,59,96,111,10.816653826391969
sorghum,169,476.8010768890381,0.48144709018205756,0.7347461443206124,0.9771315218204956,42,75,93,14.422205101855956
sorghum,170,481.8893893957138,0.5625055165882318,0.7682522522522522,0.9480167200284596,49,85,99,14.866068747318506
sorghum,171,440.7178165912628,0.47880383970611573,0.7602170542635659,0.9781758697733801,43,74,93,16.263455967290593
sorghum,172,522.4579315185547,0.3379465062424296,0.7481336231336231,0.9739796389136653,57,97,112,12.020815280171307
sorghum,173,483.1025927066803,0.3327026755628483,0.7511877828054299,0.9719701405152225,34,71,87,14.317821063276353
sorghum,174,467.00208711624146,0.47285833788503595,0.729248687664042,0.9755678285358985,41,73,92,13.435028842544403
sorghum,175,388.6173119544983,0.5551358029071928,0.6997695852534562,0.9777324676718356,45,66,80,11.313708498984761
sorghum,176,528.5584362745285,0.2986638708704354,0.7478045150086827,0.9723870967741935,41,69,81,16.97056274847714
sorghum,177,469.4457383155823,0.2967797172366214,0.7132948650696509,0.9648756258130642,48,70,80,14.142135623730951
sorghum,178,441.4457391500473,0.5908140252995273,0.7417293233082707,0.9789538970436221,38,65,78,9.192388155425117
sorghum,179,467.5462440252304,0.40924016219918063,0.7708822838345865,0.9752898335315101,50,77,92,15.556349186104045
sorghum,180,487.6295038461685,0.3386122123690984,0.7258377425044091,0.9640054655475307,35,57,70,9.219544457292887
sorghum,181,423.30360329151154,0.4220810532783709,0.7228487886382623,0.9716906087688925,47,73,85,11.313708498984761
sorghum,182,445.0609631538391,0.3539488691659268,0.784525939177102,0.98502601729495,40,74,87,14.866068747318506
sorghum,183,454.47517561912537,0.2911320625714427,0.7742069128787878,0.9775801509603169,40,82,100,9.848857801796104
sorghum,184,466.6589411497116,0.27146894945182404,0.7248455923638405,0.9683819668441978,52,84,98,14.849242404917497
sorghum,185,503.20309805870056,0.5098141031172058,0.7826183104820875,0.9850926298209259,39,72,85,16.97056274847714
sorghum,186,456.71781635284424,0.5735155460696215,0.7649811631740052,0.9818298579631308,53,91,108,19.79898987322333
sorghum,187,460.274165391922,0.5162427036863155,0.7472438994178124,0.9655089628681178,38,62,78,17.029386365926403
sorghum,188,457.5462439060211,0.4953060377592307,0.7464717741935484,0.9630641175705553,39,73,88,10.295630140987
sorghum,189,490.1736603975296,0.44477479101916845,0.7561364619377162,0.9775968125262128,36,71,87,11.180339887498949
sorghum,190,497.2447279691696,0.36196003329694715,0.7696414182111201,0.9737169071967887,39,74,90,16.278820596099706
sorghum,191,430.37467074394226,0.4051996316150185,0.7470265029088559,0.9728103034639505,47,77,91,12.020815280171307
sorghum,192,462.41630041599274,0.35450146739796257,0.7466439780676877,0.9671809943668871,43,69,79,14.7648230602334
sorghum,193,432.3746705055237,0.29702030880066344,0.7018521251475797,0.9580479452054794,38,63,76,12.020815280171307
sorghum,194,452.75944674015045,0.48291622978328613,0.7380094652821926,0.9593682567375236,38,60,71,12.020815280171307
sorghum,195,464.41630017757416,0.5276016345755307,0.7133513513513513,0.980387786940049,34,64,78,14.212670403551895
sorghum,196,457.445738196373,0.4326788587738966,0.7684502426419613,0.9755570668480218,47,77,90,14.7648230602334
sorghum,197,435.93101954460144,0.3694772473594632,0.7374112435671943,0.974769654697322,37,65,79,13.892443989449804
sorghum,198,479.93101954460144,0.33367897308739014,0.7227530991735537,0.9534517269281547,38,63,79,7.280109889280518
sorghum,199,500.173660159111,0.5564851386921444,0.7436534216335541,0.9769641444766676,51,80,94,19.235384061671343
sorghum,200,433.44573843479156,0.23953767667252612,0.7351059576169532,0.9671649642716234,62,90,105,17.204650534085253
sorghum,201,450.8599534034729,0.3325061712098193,0.7211544621692614,0.9632054079493433,38,66,79,14.142135623730951
sorghum,202,459.5878736972809,0.5687708733905966,0.7108440407620735,0.9743044748927772,58,92,110,15.811388300841896
sorghum,203,431.20309829711914,0.18031196605842392,0.7234146341463414,0.9670898182766716,47,78,91,12.806248474865697
sorghum,204,472.4163008928299,0.37259908817072157,0.7283695923980995,0.9648861283643893,34,60,75,14.7648230602334
sorghum,205,471.5462440252304,0.4959987864314463,0.7405531864487088,0.9728079047693146,49,82,99,8.602325267042627
sorghum,206,402.09039998054504,0.48371353165894554,0.8019959614787201,0.9795115010671093,40,72,88,14.7648230602334
sorghum,207,463.8305141925812,0.491257933454832,0.7590645161290323,0.9713519091847265,33,58,71,17.67766952966369
sorghum,208,555.1858525276184,0.48078926489246054,0.733058608058608,0.9653883260974433,53,88,103,3.5355339059327378
sorghum,209,457.1025928258896,0.4960882206742068,0.7411891310196395,0.9609347750261598,31,59,73,16.55294535724685
sorghum,210,497.7300091981888,0.3339528341137907,0.7642100935347929,0.978997959049312,49,79,90,17.46424919657298
sorghum,211,469.9310199022293,0.5272181734618906,0.7565023670286828,0.9771590949965828,40,75,90,8.48528137423857
sorghum,212,528.4995610713959,0.3266968892739017,0.7056667470460574,0.9600104976544304,63,94,108,6.708203932499369
sorghum,213,429.7888844013214,0.47214433043024645,0.7464406779661017,0.9757610670447999,50,85,104,21.633307652783937
sorghum,214,504.8010764122009,0.5594744805285675,0.725479797979798,0.9739634539105672,42,66,76,9.899494936611665
sorghum,215,472.03152537345886,0.25037735387612353,0.7682071960297767,0.9658386304254573,44,83,102,15.0
sorghum,216,493.24472856521606,0.5198472134964572,0.7540281824127475,0.9679438253701725,45,76,92,10.0
sorghum,217,589.3279880285263,0.36741961877970797,0.7054302008430449,0.9011244259093069,27,50,60,18.384776310850235
sorghum,218,531.7300087213516,0.5234164985734732,0.7824420164845697,0.9721941053885085,44,78,96,13.416407864998739
sorghum,219,446.13203036785126,0.22716780223398,0.7667900581702802,0.9745851711825246,47,75,86,16.278820596099706
sorghum,220,455.34523272514343,0.3678715297975366,0.7114444179389313,0.9715367700952846,50,73,83,11.661903789690601
sorghum,221,496.7594462633133,0.4132053002892383,0.7236641221374046,0.9614256220797566,45,80,95,6.4031242374328485
sorghum,222,527.4284925460815,0.5306323977598515,0.692738309352518,0.97140605296343,41,71,86,12.041594578792296
